,playerID,birthYear,birthMonth,birthDay,nameFirst,nameLast
106,adkingr01,1897.0,6.0,29.0,Grady,Adkins
107,adkinhe01,1874.0,1.0,19.0,Harry,Atkinson
108,adkinjo01,1977.0,8.0,30.0,Jon,Adkins
109,adkinst01,1964.0,10.0,26.0,Steve,Adkins
110,adlesda01,1943.0,7.0,15.0,Dave,Adlesh
111,adriaeh01,1989.0,8.0,21.0,Ehire,Adrianza
112,afenitr01,1963.0,9.0,21.0,Troy,Afenir
113,affelje01,1979.0,6.0,6.0,Jeremy,Affeldt
114,agbaybe01,1971.0,12.0,28.0,Benny,Agbayani
115,ageeto01,1942.0,8.0,9.0,Tommie,Agee
116,agganha01,1929.0,4.0,20.0,Harry,Agganis
117,aglerjo01,1887.0,6.0,12.0,Joe,Agler
118,agnewsa01,1887.0,4.0,12.0,Sam,Agnew
119,agostju01,1958.0,2.0,23.0,Juan,Agosto
120,aguaylu01,1959.0,3.0,13.0,Luis,Aguayo
121,aguilch01,1979.0,2.0,23.0,Chris,Aguila
122,aguilje01,1990.0,6.0,30.0,Jesus,Aguilar
123,aguilri01,1961.0,12.0,31.0,Rick,Aguilera
124,aguirha01,1931.0,1.0,31.0,Hank,Aguirre
125,ahearch01,1858.0,,,Bill,Ahearn
126,ahearpa01,1969.0,12.0,10.0,Pat,Ahearne
127,ahmedni01,1990.0,3.0,15.0,Nick,Ahmed
128,aikenwi01,1954.0,10.0,14.0,Willie,Aikens
129,aingeda01,1959.0,3.0,17.0,Danny,Ainge
130,ainsmed01,1890.0,2.0,4.0,Eddie,Ainsmith
131,ainswku01,1978.0,9.0,9.0,Kurt,Ainsworth
132,aitchra01,1887.0,12.0,5.0,Raleigh,Aitchison
133,aitonge01,1890.0,12.0,29.0,George,Aiton
134,akejo01,1861.0,8.0,29.0,John,Ake
135,akerfda01,1962.0,6.0,12.0,Darrel,Akerfelds
136,akerja01,1940.0,7.0,13.0,Jack,Aker
137,akersbi01,1904.0,12.0,25.0,Bill,Akers
138,akersje01,1887.0,11.0,1.0,Jerry,Akers
139,albagi01,1960.0,1.0,18.0,Gibson,Alba
140,albaljo01,1982.0,10.0,30.0,Jonathan,Albaladejo
141,albanjo01,1933.0,6.0,26.0,Joe,Albanese
142,alberan01,1985.0,10.0,6.0,Andrew,Albers
143,alberbu01,1950.0,5.0,4.0,Butch,Alberts
144,albercy01,1882.0,1.0,14.0,Cy,Alberts
145,albergu01,1860.0,9.0,,Gus,Alberts
146,alberha01,1992.0,10.0,17.0,Hanser,Alberto
147,alberjo01,1969.0,6.0,29.0,Jose,Alberro
148,alberma01,1983.0,1.0,20.0,Matt,Albers
149,albosed01,1918.0,10.0,27.0,Ed,Albosta
150,albreed01,1929.0,2.0,28.0,Ed,Albrecht
151,albrija01,1921.0,6.0,30.0,Jack,Albright
152,albural01,1986.0,6.0,10.0,Al,Alburquerque
153,alburvi01,1947.0,5.0,12.0,Vic,Albury
154,alcalsa01,1952.0,12.0,23.0,Santo,Alcala
155,alcanar01,1991.0,10.0,29.0,Arismendy,Alcantara
156,alcanis01,1973.0,5.0,6.0,Israel,Alcantara
157,alcarlu01,1941.0,6.0,20.0,Luis,Alcaraz
158,alcocsc01,1885.0,11.0,29.0,Scotty,Alcock
159,alderda01,1918.0,3.0,9.0,Dale,Alderson
160,aldremi01,1961.0,1.0,29.0,Mike,Aldrete
161,aldresc01,1968.0,6.0,12.0,Scott,Aldred
162,aldrico01,1979.0,6.0,13.0,Cory,Aldridge
163,aldrija01,1961.0,4.0,14.0,Jay,Aldrich
164,aldrivi01,1893.0,10.0,25.0,Vic,Aldridge
165,alenoch01,1917.0,2.0,19.0,Chuck,Aleno
166,alexabo01,1922.0,8.0,7.0,Bob,Alexander
167,alexada01,1903.0,4.0,26.0,Dale,Alexander
168,alexado01,1950.0,9.0,4.0,Doyle,Alexander
169,alexaga01,1953.0,3.0,27.0,Gary,Alexander
170,alexage01,1968.0,3.0,26.0,Gerald,Alexander
171,alexahu01,1917.0,7.0,10.0,Hugh,Alexander
172,alexama01,1947.0,1.0,30.0,Matt,Alexander
173,alexama02,1971.0,3.0,20.0,Manny,Alexander
174,alexani01,1858.0,11.0,24.0,Nin,Alexander
175,alexape01,1887.0,2.0,26.0,Pete,Alexander
176,alexasc01,1989.0,7.0,10.0,Scott,Alexander
177,alexawa01,1891.0,3.0,5.0,Walt,Alexander
178,alfarja01,1977.0,11.0,29.0,Jason,Alfaro
179,alfonan01,1972.0,4.0,16.0,Antonio,Alfonseca
180,alfoned01,1973.0,11.0,8.0,Edgardo,Alfonzo
181,alfonel01,1979.0,2.0,7.0,Eliezer,Alfonzo
182,alicelu01,1965.0,7.0,29.0,Luis,Alicea
183,allanan01,1961.0,12.0,22.0,Andy,Allanson
184,allarbr01,1958.0,1.0,3.0,Brian,Allard
185,allenbe01,1939.0,4.0,16.0,Bernie,Allen
186,allenbo01,1867.0,7.0,10.0,Bob,Allen
187,allenbo02,1894.0,10.0,13.0,Bob,Allen
188,allenbo03,1914.0,7.0,2.0,Bob,Allen
189,allenbo04,1937.0,10.0,23.0,Bob,Allen
190,allenbr01,1986.0,2.0,12.0,Brandon,Allen
